Date,Close,High,Low,Open,Volume,Daily Return
2020-01-03,10.680000305175781,10.75,10.609999656677246,10.65999984741211,467600,0.0
2020-01-06,10.800000190734863,10.899999618530273,10.692000389099121,10.75,2183500,0.011235944019676314
2020-01-07,10.899999618530273,10.949999809265137,10.869999885559082,10.890000343322754,1977000,0.009259206113829244
2020-01-08,11.260000228881836,11.350000381469727,10.883999824523926,10.9399995803833,2955700,0.03302758008720952
2020-01-09,12.25,12.390000343322754,11.34000015258789,11.430000305175781,8279300,0.08792182513272251
2020-01-10,12.390000343322754,12.630000114440918,11.982000350952148,12.40999984741211,2374700,0.011428599454918587
2020-01-13,12.0,12.640000343322754,11.550000190734863,12.609999656677246,1674100,-0.03147702441614009
2020-01-14,11.9399995803833,12.279999732971191,11.819999694824219,12.140000343322754,594900,-0.005000034968058231
2020-01-15,12.699999809265137,13.0,11.989999771118164,12.0,3258200,0.06365161269607333
2020-01-16,12.989999771118164,13.4399995803833,12.9399995803833,13.109999656677246,5473100,0.02283464300853466
2020-01-17,13.569999694824219,13.670000076293945,12.760000228881836,13.229999542236328,3487800,0.04464972547540924
2020-01-21,13.829999923706055,14.5,13.319999694824219,13.829999923706055,3281900,0.019159928867279463
2020-01-22,14.270000457763672,14.390000343322754,13.720000267028809,14.0,2341800,0.031814933946847646
2020-01-23,14.4399995803833,14.600000381469727,14.109999656677246,14.470000267028809,2901100,0.011913042548442165
2020-01-24,14.359999656677246,14.717000007629395,14.15999984741211,14.600000381469727,1823200,-0.005540161082465245
2020-01-27,15.0,15.140000343322754,14.350000381469727,14.59000015258789,4655300,0.044568270099168084
2020-01-28,15.079999923706055,15.75,14.300000190734863,15.350000381469727,5870300,0.005333328247070224
2020-01-29,14.5,14.970000267028809,14.0,14.930000305175781,3475000,-0.0384615335968459
2020-01-30,14.670000076293945,14.890000343322754,14.359999656677246,14.770000457763672,1940600,0.011724143192685776
2020-01-31,14.529999732971191,15.0,14.399999618530273,14.789999961853027,1098200,-0.009543308970324293
2020-02-03,14.510000228881836,14.869999885559082,14.039999961853027,14.84000015258789,1458500,-0.0013764283865727034
2020-02-04,14.569999694824219,15.026000022888184,14.449999809265137,14.640000343322754,1403600,0.004135042384282972
2020-02-05,14.25,14.899999618530273,13.850000381469727,14.8100004196167,1270100,-0.02196291705743092
2020-02-06,13.609999656677246,14.479999542236328,13.260000228881836,14.350000381469727,2912700,-0.044912304794579194
2020-02-07,14.5,14.739999771118164,13.5,13.640000343322754,1249400,0.06539312018910359
2020-02-10,16.020000457763672,16.739999771118164,14.5,14.520000457763672,3305700,0.10482761777680505
2020-02-11,16.81999969482422,17.360000610351562,16.299999237060547,16.389999389648438,2388100,0.04993752897633952
2020-02-12,18.350000381469727,18.690000534057617,16.899999618530273,17.06999969482422,3997300,0.09096318159365446
2020-02-13,17.90999984741211,18.649999618530273,17.25,18.479999542236328,1543000,-0.023978230240362275
2020-02-14,17.329999923706055,18.299999237060547,16.860000610351562,17.959999084472656,1285400,-0.03238413895295822
2020-02-18,17.290000915527344,17.770000457763672,16.649999618530273,17.549999237060547,1365500,-0.0023080789587307526
2020-02-19,17.969999313354492,18.360000610351562,17.649999618530273,17.959999084472656,1684400,0.039328997213439854
2020-02-20,17.649999618530273,18.139999389648438,16.75,18.1299991607666,1379800,-0.01780744057048511
2020-02-21,16.950000762939453,17.617000579833984,16.850000381469727,17.56999969482422,579000,-0.03965999267534881
2020-02-24,16.639999389648438,16.820999145507812,15.800000190734863,16.440000534057617,1203700,-0.018289165742624736
2020-02-25,16.959999084472656,17.82200050354004,16.5,17.3700008392334,1852700,0.0192307515962582
2020-02-26,16.829999923706055,17.649999618530273,16.381999969482422,17.389999389648438,1415100,-0.0076650452702924365
2020-02-27,16.170000076293945,16.700000762939453,15.9399995803833,16.309999465942383,1291200,-0.03921567738586029
2020-02-28,16.020000457763672,16.149999618530273,15.350000381469727,15.680000305175781,978800,-0.00927641421289671
2020-03-02,16.65999984741211,17.049999237060547,16.100000381469727,16.100000381469727,829400,0.03995002318107166
2020-03-03,16.40999984741211,17.049999237060547,16.25,17.0,880600,-0.015006002538399454
2020-03-04,18.690000534057617,19.5,16.531999588012695,16.670000076293945,2632700,0.13893971406739958
2020-03-05,17.940000534057617,18.829999923706055,17.549999237060547,17.790000915527344,2419900,-0.04012840976827803
2020-03-06,16.829999923706055,17.46500015258789,16.700000762939453,17.399999618530273,2023800,-0.06187294187892123
2020-03-09,17.010000228881836,17.450000762939453,14.5,15.0,2049500,0.010695205347104109
2020-03-10,16.600000381469727,17.989999771118164,16.010000228881836,17.65999984741211,2385000,-0.024103459253101978
2020-03-11,14.5,16.75,13.50100040435791,16.25,3751300,-0.1265060441693675
2020-03-12,11.170000076293945,12.739999771118164,10.600000381469727,11.0,7176400,-0.22965516715214174
2020-03-13,12.449999809265137,12.449999809265137,11.229999542236328,12.289999961853027,2371900,0.1145926342192003
2020-03-16,11.800000190734863,12.0,10.899999618530273,11.0,2838200,-0.05220880550106932
2020-03-17,12.890000343322754,13.039999961853027,11.270000457763672,11.460000038146973,2111200,0.09237289279399663
2020-03-18,11.399999618530273,12.739999771118164,11.25,12.0,1711900,-0.11559353647064308
2020-03-19,11.399999618530273,12.5,11.399999618530273,11.399999618530273,1160300,0.0
2020-03-20,11.479999542236328,12.229999542236328,11.050000190734863,11.5,1663800,0.007017537402020491
2020-03-23,11.300000190734863,11.960000038146973,10.920000076293945,11.359999656677246,1175000,-0.015679386644505078
2020-03-24,11.850000381469727,13.039999961853027,11.600000381469727,11.949999809265137,1779200,0.048672582429319045
2020-03-25,13.0,13.489999771118164,11.800000190734863,12.220000267028809,3096300,0.09704637818649942
2020-03-26,13.210000038146973,13.890000343322754,12.149999618530273,12.890000343322754,2589000,0.0161538490882287
2020-03-27,12.6899995803833,12.960000038146973,12.010000228881836,12.800000190734863,2602600,-0.03936415263149495
2020-03-30,12.210000038146973,12.800000190734863,11.630000114440918,12.670000076293945,1733900,-0.03782502427961698
2020-03-31,12.34000015258789,12.699999809265137,11.899999618530273,12.489999771118164,1894700,0.010647019986467443
2020-04-01,11.770000457763672,12.239999771118164,11.550000190734863,12.239999771118164,799200,-0.04619122267228504
2020-04-02,12.25,12.720000267028809,11.451000213623047,11.75,1462000,0.04078160777977824
2020-04-03,12.25,12.579999923706055,11.369999885559082,12.579999923706055,1533500,0.0
2020-04-06,12.609999656677246,12.789999961853027,12.260000228881836,12.350000381469727,1525200,0.02938772707569348
2020-04-07,13.029999732971191,13.90999984741211,12.680000305175781,13.25,4083800,0.03330690624337551
2020-04-08,14.75,15.270000457763672,13.210000038146973,13.359999656677246,3268400,0.13200309303740876
2020-04-09,14.510000228881836,15.5,14.050000190734863,15.5,2377500,-0.016271170923265355
2020-04-13,14.25,14.399999618530273,13.600000381469727,14.079999923706055,1634600,-0.017918692266062908
2020-04-14,14.75,15.140000343322754,14.050000190734863,14.5,2630700,0.03508771929824572
2020-04-15,15.489999771118164,15.680000305175781,14.354000091552734,14.699999809265137,2363900,0.05016947600801114
2020-04-16,16.09000015258789,16.450000762939453,15.550000190734863,16.149999618530273,2760700,0.03873469272662322
2020-04-17,16.950000762939453,17.68000030517578,15.821999549865723,17.0,3566400,0.053449384847472636
2020-04-20,17.56999969482422,18.190000534057617,16.799999237060547,17.149999618530273,2778600,0.03657810642937376
2020-04-21,17.200000762939453,18.798999786376953,16.600000381469727,17.739999771118164,2448500,-0.021058562226028976
